NAME                                                                          VERSION                                 TYPE                        
./internal/third_party/selinux                                                UNKNOWN                                 go-module                    
1to2                                                                          1.0.0                                   npm                          
@balena/dockerignore                                                          1.0.2                                   npm                          
@isaacs/cliui                                                                 8.0.2                                   npm                          
@isaacs/string-locale-compare                                                 1.1.0                                   npm                          
@npmcli/agent                                                                 2.2.2                                   npm                          
@npmcli/arborist                                                              7.5.4                                   npm                          
@npmcli/config                                                                8.3.4                                   npm                          
@npmcli/fs                                                                    3.1.1                                   npm                          
@npmcli/git                                                                   5.0.8                                   npm                          
@npmcli/installed-package-contents                                            2.1.0                                   npm                          
@npmcli/map-workspaces                                                        3.0.6                                   npm                          
@npmcli/metavuln-calculator                                                   7.1.1                                   npm                          
@npmcli/name-from-folder                                                      2.0.0                                   npm                          
@npmcli/node-gyp                                                              3.0.0                                   npm                          
@npmcli/package-json                                                          5.2.0                                   npm                          
@npmcli/promise-spawn                                                         7.0.2                                   npm                          
@npmcli/query                                                                 3.1.0                                   npm                          
@npmcli/redact                                                                2.0.1                                   npm                          
@npmcli/run-script                                                            8.1.0                                   npm                          
@pkgjs/parseargs                                                              0.11.0                                  npm                          
@sigstore/bundle                                                              2.3.2                                   npm                          
@sigstore/core                                                                1.1.0                                   npm                          
@sigstore/protobuf-specs                                                      0.3.2                                   npm                          
@sigstore/sign                                                                2.3.2                                   npm                          
@sigstore/tuf                                                                 2.3.4                                   npm                          
@sigstore/verify                                                              1.2.1                                   npm                          
@socket.io/component-emitter                                                  3.1.2                                   npm                          
@socket.io/component-emitter                                                  UNKNOWN                                 npm        (+1 duplicate)    
@tufjs/canonical-json                                                         2.0.0                                   npm                          
@tufjs/models                                                                 2.0.1                                   npm                          
@types/cors                                                                   2.8.19                                  npm                          
@types/node                                                                   24.10.1                                 npm                          
abbrev                                                                        2.0.0                                   npm                          
accepts                                                                       1.3.8                                   npm                          
adduser                                                                       3.137ubuntu1                            deb                          
agent-base                                                                    7.1.1                                   npm                          
aggregate-error                                                               3.1.0                                   npm                          
ansi-regex                                                                    5.0.1                                   npm                          
